,peak_f,peak_psd,sensor,pass_num,mode_num
0,16.4,5.6816429139132135e-08,front_axle,1,1
1,16.6,5.513258615791036e-08,front_axle,1,1
2,16.2,5.464656944744582e-08,front_axle,1,1
3,5.2,3.185896317359409e-08,front_axle,1,1
4,5.4,2.8438501898579637e-08,front_axle,1,1
5,5.0,2.766087515589413e-08,front_axle,1,1
6,9.9,2.446075400422531e-08,front_axle,1,1
7,10.1,2.216346248187573e-08,front_axle,1,1
8,9.7,2.0004576483100474e-08,front_axle,1,1
9,14.6,1.8201173256628845e-08,front_axle,1,1
10,16.6,1.4176274434503267e-07,rear_axle,1,1
11,16.4,1.3427942903453507e-07,rear_axle,1,1
12,16.8,1.3371784131655317e-07,rear_axle,1,1
13,14.6,7.888704053998414e-08,rear_axle,1,1
14,14.4,7.351361293383065e-08,rear_axle,1,1
15,14.8,6.689540342649394e-08,rear_axle,1,1
16,10.0,2.5760460049274502e-08,rear_axle,1,1
17,9.8,2.346642838802486e-08,rear_axle,1,1
18,10.2,2.1652680521835842e-08,rear_axle,1,1
19,5.2,1.588526814640074e-08,rear_axle,1,1
0,15.3,5.235123169790756e-08,front_axle,2,1
1,15.5,4.858306998996667e-08,front_axle,2,1
2,15.1,4.7997274086624323e-08,front_axle,2,1
3,16.9,4.323351986150102e-08,front_axle,2,1
4,16.7,4.17946331310273e-08,front_axle,2,1
5,17.1,4.030742067104453e-08,front_axle,2,1
6,5.2,3.017980703988936e-08,front_axle,2,1
7,5.4,2.708237236372158e-08,front_axle,2,1
8,5.0,2.6258325232565678e-08,front_axle,2,1
9,9.9,6.674016116102653e-09,front_axle,2,1
10,16.3,4.938801891318831e-08,rear_axle,2,1
11,16.5,4.881568701899061e-08,rear_axle,2,1
12,16.1,4.6984577001828745e-08,rear_axle,2,1
13,5.2,2.0135346017957627e-08,rear_axle,2,1
14,5.4,1.8510471265606053e-08,rear_axle,2,1
15,5.0,1.7059368227882325e-08,rear_axle,2,1
16,9.9,7.559779801654079e-09,rear_axle,2,1
17,10.1,6.697552117158164e-09,rear_axle,2,1
18,9.7,6.6118586497760255e-09,rear_axle,2,1
0,9.8,5.1357071906018165e-08,front_axle,3,1
1,10.0,4.481927909630038e-08,front_axle,3,1
2,9.6,4.4207825919091617e-08,front_axle,3,1
3,5.2,3.061363800833221e-08,front_axle,3,1
4,5.4,2.7517863944174168e-08,front_axle,3,1
5,5.0,2.6563224596902245e-08,front_axle,3,1
6,16.6,2.562304220132947e-08,front_axle,3,1
7,16.4,2.342579010446211e-08,front_axle,3,1
8,16.8,2.322372060001356e-08,front_axle,3,1
9,17.9,2.1971422750112153e-08,front_axle,3,1
10,9.9,1.3840894063434586e-07,rear_axle,3,1
11,9.7,1.2880708244929833e-07,rear_axle,3,1
12,10.1,1.1169642757767915e-07,rear_axle,3,1
13,16.8,7.492668901212953e-08,rear_axle,3,1
14,16.6,7.190623253080647e-08,rear_axle,3,1
15,17.0,7.13797032196908e-08,rear_axle,3,1
16,15.4,4.815972384863837e-08,rear_axle,3,1
17,15.2,4.5227655887798425e-08,rear_axle,3,1
18,15.6,4.488681472310195e-08,rear_axle,3,1
19,5.2,1.8294041958427016e-08,rear_axle,3,1
0,13.8,3.7229711244413965e-06,front_axle,4,1
1,14.0,3.5626129226280373e-06,front_axle,4,1
2,13.6,3.472458411405676e-06,front_axle,4,1
3,16.1,4.806157802645811e-07,front_axle,4,1
4,16.3,4.5318475838695206e-07,front_axle,4,1
5,15.9,4.513521527653431e-07,front_axle,4,1
6,12.4,1.0188310844771997e-05,rear_axle,4,1
7,12.2,9.705145484041082e-06,rear_axle,4,1
8,12.6,9.661339928962179e-06,rear_axle,4,1
0,15.3,5.792326730274124e-08,front_axle,5,1
1,15.5,5.5470149888301555e-08,front_axle,5,1
2,15.1,5.233651370565622e-08,front_axle,5,1
3,5.2,3.000619464077092e-08,front_axle,5,1
4,5.4,2.690474225430963e-08,front_axle,5,1
5,5.0,2.6048167115699717e-08,front_axle,5,1
6,9.9,1.1959923595633906e-08,front_axle,5,1
7,9.7,1.074079737664244e-08,front_axle,5,1
8,10.1,1.0137109403761612e-08,front_axle,5,1
9,11.4,2.220877576365086e-06,rear_axle,5,1
10,11.6,2.0309801188447186e-06,rear_axle,5,1
11,11.2,1.953594950285164e-06,rear_axle,5,1
0,17.5,6.76984919106276e-08,front_axle,6,1
1,15.8,6.671116233159607e-08,front_axle,6,1
2,17.7,6.47239485276345e-08,front_axle,6,1
3,17.3,6.440024980187999e-08,front_axle,6,1
4,15.6,6.106316148741709e-08,front_axle,6,1
